####eBayCatName, eBayCatId, CatIndex
Clothing, Shoes & Accessories:Men's Clothing:Blazers & Sport Coats	3002	347
Clothing, Shoes & Accessories:Men's Clothing:Casual Shirts	57990	72
Clothing, Shoes & Accessories:Men's Clothing:Coats & Jackets	57988	58
Clothing, Shoes & Accessories:Men's Clothing:Dress Shirts	57991	480
Clothing, Shoes & Accessories:Men's Clothing:Jeans	11483	251
Clothing, Shoes & Accessories:Men's Clothing:Mixed Items & Lots	84434	14
Clothing, Shoes & Accessories:Men's Clothing:Other Men's Clothing	313	313
Clothing, Shoes & Accessories:Men's Clothing:Pants	57989	436
Clothing, Shoes & Accessories:Men's Clothing:Shorts	15689	44
Clothing, Shoes & Accessories:Men's Clothing:Sleepwear & Robes	11510	341
Clothing, Shoes & Accessories:Men's Clothing:Socks	11511	340
Clothing, Shoes & Accessories:Men's Clothing:Suits	3001	344
Clothing, Shoes & Accessories:Men's Clothing:Sweaters	11484	250
Clothing, Shoes & Accessories:Men's Clothing:Sweats & Hoodies	155183	57
Clothing, Shoes & Accessories:Men's Clothing:Swimwear	15690	439
Clothing, Shoes & Accessories:Men's Clothing:T-Shirts	15687	301
Clothing, Shoes & Accessories:Men's Clothing:Underwear	11507	513
Clothing, Shoes & Accessories:Men's Clothing:Vests	15691	446
Clothing, Shoes & Accessories:Men's Shoes:Athletic	15709	237
Clothing, Shoes & Accessories:Men's Shoes:Boots	11498	404
Clothing, Shoes & Accessories:Men's Shoes:Casual	24087	68
Clothing, Shoes & Accessories:Men's Shoes:Dress/Formal	53120	373
Clothing, Shoes & Accessories:Men's Shoes:Mixed Items & Lots	63850	447
Clothing, Shoes & Accessories:Men's Shoes:Occupational	11501	518
Clothing, Shoes & Accessories:Men's Shoes:Sandals & Flip Flops	11504	514
Clothing, Shoes & Accessories:Men's Shoes:Slippers	11505	515
Clothing, Shoes & Accessories:Uniforms & Work Clothing:Aprons	175628	424
Clothing, Shoes & Accessories:Uniforms & Work Clothing:Coveralls & Jumpsuits	178962	38
Clothing, Shoes & Accessories:Uniforms & Work Clothing:Hats	163526	322
Clothing, Shoes & Accessories:Uniforms & Work Clothing:Jackets & Vests	175629	349
Clothing, Shoes & Accessories:Uniforms & Work Clothing:Lab Coats	105417	312
